#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,level,operative,%,85,2,0.03,0,100,92,95,,,,
#BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,temperature,operative,°C,82,1,0.04,15,100,90,95,,,,
#BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,pressure,operative,bar,1.2,0.1,0.05,0,3,2.5,2.8,,,,
#DATA
ts,machine_id,var_name,value
0,BTL-01,temperature,82.0525
0,BTL-01,pressure,1.1549
1,BTL-01,level,83.4834
2,BTL-01,temperature,81.4846
2,BTL-01,pressure,1.1451
3,BTL-01,level,82.3621
4,BTL-01,temperature,81.8349
4,BTL-01,pressure,1.1541
5,BTL-01,level,81.9969
6,BTL-01,temperature,81.5709
6,BTL-01,pressure,1.1551
7,BTL-01,level,83.4195
8,BTL-01,temperature,81.4564
8,BTL-01,pressure,1.1370
9,BTL-01,level,85.0667
10,BTL-01,temperature,81.9934
10,BTL-01,pressure,1.1876
11,BTL-01,level,85.2385
12,BTL-01,temperature,82.8986
12,BTL-01,pressure,1.1283
13,BTL-01,level,84.4083
14,BTL-01,temperature,83.3585
14,BTL-01,pressure,1.1364
15,BTL-01,level,85.6360
16,BTL-01,temperature,83.7884
16,BTL-01,pressure,1.2118
17,BTL-01,level,85.7439
18,BTL-01,temperature,83.7280
18,BTL-01,pressure,1.1934
19,BTL-01,level,84.7463
20,BTL-01,temperature,83.3430
20,BTL-01,pressure,1.2080
21,BTL-01,level,85.5226
22,BTL-01,temperature,83.5796
22,BTL-01,pressure,1.2053
23,BTL-01,level,85.7732
24,BTL-01,temperature,83.5169
24,BTL-01,pressure,1.2139
25,BTL-01,level,84.1192
26,BTL-01,temperature,83.3100
26,BTL-01,pressure,1.1721
27,BTL-01,level,85.9409
28,BTL-01,temperature,83.4015
28,BTL-01,pressure,1.1775
29,BTL-01,level,87.2566
30,BTL-01,temperature,83.1883
30,BTL-01,pressure,1.1694
31,BTL-01,level,88.4474
32,BTL-01,temperature,83.5766
32,BTL-01,pressure,1.2265
33,BTL-01,level,87.7653
34,BTL-01,temperature,83.6632
34,BTL-01,pressure,1.1582
35,BTL-01,level,87.3701
36,BTL-01,temperature,83.5399
36,BTL-01,pressure,1.1333
37,BTL-01,level,87.8643
38,BTL-01,temperature,83.0340
38,BTL-01,pressure,1.1293
39,BTL-01,level,87.5846
40,BTL-01,temperature,82.7273
40,BTL-01,pressure,1.0626
41,BTL-01,level,87.3248
42,BTL-01,temperature,83.0315
42,BTL-01,pressure,1.0086
43,BTL-01,level,86.6451
44,BTL-01,temperature,82.9607
44,BTL-01,pressure,1.0575
45,BTL-01,level,85.8976
46,BTL-01,temperature,82.9319
46,BTL-01,pressure,1.0514
47,BTL-01,level,86.4133
48,BTL-01,temperature,82.1547
48,BTL-01,pressure,1.0445
49,BTL-01,level,86.5242
50,BTL-01,temperature,81.9126
50,BTL-01,pressure,1.0281
51,BTL-01,level,85.7057
52,BTL-01,temperature,82.7023
52,BTL-01,pressure,1.0600
53,BTL-01,level,86.3284
54,BTL-01,temperature,82.9906
54,BTL-01,pressure,1.1300
55,BTL-01,level,86.9739
56,BTL-01,temperature,82.9536
56,BTL-01,pressure,1.1187
57,BTL-01,level,85.6584
58,BTL-01,temperature,83.0513
58,BTL-01,pressure,1.0939
59,BTL-01,level,85.1298
60,BTL-01,temperature,83.1836
60,BTL-01,pressure,1.0958
61,BTL-01,level,85.8213
62,BTL-01,temperature,82.6037
62,BTL-01,pressure,1.0861
63,BTL-01,level,86.0171
64,BTL-01,temperature,82.7409
64,BTL-01,pressure,1.0699
65,BTL-01,level,85.2496
66,BTL-01,temperature,83.2538
66,BTL-01,pressure,1.1247
67,BTL-01,level,83.8392
68,BTL-01,temperature,83.1331
68,BTL-01,pressure,1.0479
69,BTL-01,level,84.9422
70,BTL-01,temperature,83.4997
70,BTL-01,pressure,1.0304
71,BTL-01,level,85.6536
72,BTL-01,temperature,83.2909
72,BTL-01,pressure,1.0434
73,BTL-01,level,84.0646
74,BTL-01,temperature,83.2615
74,BTL-01,pressure,1.0068
75,BTL-01,level,82.8125
76,BTL-01,temperature,83.9256
76,BTL-01,pressure,1.0395
77,BTL-01,level,83.6265
78,BTL-01,temperature,83.9170
78,BTL-01,pressure,1.1110
79,BTL-01,level,84.5786
80,BTL-01,temperature,84.2350
80,BTL-01,pressure,1.1846
81,BTL-01,level,84.2363
82,BTL-01,temperature,83.5258
82,BTL-01,pressure,1.1824
83,BTL-01,level,83.5895
84,BTL-01,temperature,83.0460
84,BTL-01,pressure,1.2234
85,BTL-01,level,83.9712
86,BTL-01,temperature,82.5028
86,BTL-01,pressure,1.1747
87,BTL-01,level,84.9327
88,BTL-01,temperature,82.6435
88,BTL-01,pressure,1.2267
89,BTL-01,level,85.3196
90,BTL-01,temperature,82.5851
90,BTL-01,pressure,1.1940
91,BTL-01,level,85.5421
92,BTL-01,temperature,82.3148
92,BTL-01,pressure,1.1855
93,BTL-01,level,85.2159
94,BTL-01,temperature,82.3971
94,BTL-01,pressure,1.1377
95,BTL-01,level,85.0079
96,BTL-01,temperature,82.4627
96,BTL-01,pressure,1.1486
97,BTL-01,level,84.1477
98,BTL-01,temperature,82.1880
98,BTL-01,pressure,1.1964
99,BTL-01,level,83.5371
100,BTL-01,temperature,82.9332
100,BTL-01,pressure,1.2580
101,BTL-01,level,82.9692
102,BTL-01,temperature,82.7531
102,BTL-01,pressure,1.2435
103,BTL-01,level,82.1121
104,BTL-01,temperature,82.2144
104,BTL-01,pressure,1.2051
105,BTL-01,level,82.7351
106,BTL-01,temperature,82.2843
106,BTL-01,pressure,1.2775
107,BTL-01,level,82.8588
108,BTL-01,temperature,82.4328
