#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-02,Bomba industrial,Línea 1,pressure,operative,bar,4.5,0.3,0.04,0,8,6.5,7.5,,,,
#BOTTLING,BTL-02,Bomba industrial,Línea 1,flow_rate,operative,L/min,120,5,0.03,0,200,160,180,,,,
#BOTTLING,BTL-02,Bomba industrial,Línea 1,vibration,operative,g,0.25,0.03,0.05,0,1.5,0.65,0.85,,,,
#BOTTLING,BTL-02,Bomba industrial,Línea 1,energy,operative,kWh,38,2,0.04,0,80,60,70,,,,
#DATA
ts,machine_id,var_name,value
0,BTL-02,pressure,4.5157
0,BTL-02,vibration,0.2365
1,BTL-02,flow_rate,116.2085
2,BTL-02,pressure,4.3454
2,BTL-02,vibration,0.2335
3,BTL-02,flow_rate,113.4051
4,BTL-02,pressure,4.4505
4,BTL-02,vibration,0.2362
5,BTL-02,flow_rate,112.4922
6,BTL-02,pressure,4.3713
6,BTL-02,vibration,0.2365
7,BTL-02,flow_rate,116.0488
8,BTL-02,pressure,4.3369
8,BTL-02,vibration,0.2311
9,BTL-02,flow_rate,120.1668
10,BTL-02,pressure,4.4980
10,BTL-02,vibration,0.2463
11,BTL-02,flow_rate,120.5963
12,BTL-02,pressure,4.7696
12,BTL-02,vibration,0.2285
13,BTL-02,flow_rate,118.5208
14,BTL-02,pressure,4.9076
14,BTL-02,vibration,0.2309
15,BTL-02,flow_rate,121.5899
16,BTL-02,pressure,5.0365
16,BTL-02,vibration,0.2535
17,BTL-02,flow_rate,121.8598
18,BTL-02,pressure,5.0184
18,BTL-02,vibration,0.2480
19,BTL-02,flow_rate,119.3657
20,BTL-02,pressure,4.9029
20,BTL-02,vibration,0.2524
21,BTL-02,flow_rate,121.3065
22,BTL-02,pressure,4.9739
22,BTL-02,vibration,0.2516
23,BTL-02,flow_rate,121.9330
24,BTL-02,pressure,4.9551
24,BTL-02,vibration,0.2542
25,BTL-02,flow_rate,117.7981
26,BTL-02,pressure,4.8930
26,BTL-02,vibration,0.2416
27,BTL-02,flow_rate,122.3523
28,BTL-02,pressure,4.9204
28,BTL-02,vibration,0.2433
29,BTL-02,flow_rate,125.6415
30,BTL-02,pressure,4.8565
30,BTL-02,vibration,0.2408
31,BTL-02,flow_rate,128.6185
32,BTL-02,pressure,4.9730
32,BTL-02,vibration,0.2579
33,BTL-02,flow_rate,126.9131
34,BTL-02,pressure,4.9989
34,BTL-02,vibration,0.2375
35,BTL-02,flow_rate,125.9252
36,BTL-02,pressure,4.9620
36,BTL-02,vibration,0.2300
37,BTL-02,flow_rate,127.1609
38,BTL-02,pressure,4.8102
38,BTL-02,vibration,0.2288
39,BTL-02,flow_rate,126.4615
40,BTL-02,pressure,4.7182
40,BTL-02,vibration,0.2088
41,BTL-02,flow_rate,125.8121
42,BTL-02,pressure,4.8094
42,BTL-02,vibration,0.1926
43,BTL-02,flow_rate,124.1128
44,BTL-02,pressure,4.7882
44,BTL-02,vibration,0.2072
45,BTL-02,flow_rate,122.2439
46,BTL-02,pressure,4.7796
46,BTL-02,vibration,0.2054
47,BTL-02,flow_rate,123.5332
48,BTL-02,pressure,4.5464
48,BTL-02,vibration,0.2034
49,BTL-02,flow_rate,123.8105
50,BTL-02,pressure,4.4738
50,BTL-02,vibration,0.1984
51,BTL-02,flow_rate,121.7644
52,BTL-02,pressure,4.7107
52,BTL-02,vibration,0.2080
53,BTL-02,flow_rate,123.3211
54,BTL-02,pressure,4.7972
54,BTL-02,vibration,0.2290
55,BTL-02,flow_rate,124.9347
56,BTL-02,pressure,4.7861
56,BTL-02,vibration,0.2256
57,BTL-02,flow_rate,121.6461
58,BTL-02,pressure,4.8154
58,BTL-02,vibration,0.2182
59,BTL-02,flow_rate,120.3245
60,BTL-02,pressure,4.8551
60,BTL-02,vibration,0.2187
61,BTL-02,flow_rate,122.0532
62,BTL-02,pressure,4.6811
62,BTL-02,vibration,0.2158
63,BTL-02,flow_rate,122.5427
64,BTL-02,pressure,4.7223
64,BTL-02,vibration,0.2110
65,BTL-02,flow_rate,120.6240
66,BTL-02,pressure,4.8761
66,BTL-02,vibration,0.2274
67,BTL-02,flow_rate,117.0979
68,BTL-02,pressure,4.8399
68,BTL-02,vibration,0.2044
69,BTL-02,flow_rate,119.8554
70,BTL-02,pressure,4.9499
70,BTL-02,vibration,0.1991
71,BTL-02,flow_rate,121.6339
72,BTL-02,pressure,4.8873
72,BTL-02,vibration,0.2030
73,BTL-02,flow_rate,117.6614
74,BTL-02,pressure,4.8784
74,BTL-02,vibration,0.1921
75,BTL-02,flow_rate,114.5313
76,BTL-02,pressure,5.0777
76,BTL-02,vibration,0.2018
77,BTL-02,flow_rate,116.5662
78,BTL-02,pressure,5.0751
78,BTL-02,vibration,0.2233
79,BTL-02,flow_rate,118.9465
80,BTL-02,pressure,5.1705
80,BTL-02,vibration,0.2454
81,BTL-02,flow_rate,118.0908
82,BTL-02,pressure,4.9577
82,BTL-02,vibration,0.2447
83,BTL-02,flow_rate,116.4736
84,BTL-02,pressure,4.8138
84,BTL-02,vibration,0.2570
85,BTL-02,flow_rate,117.4280
86,BTL-02,pressure,4.6508
86,BTL-02,vibration,0.2424
87,BTL-02,flow_rate,119.8317
88,BTL-02,pressure,4.6930
88,BTL-02,vibration,0.2580
89,BTL-02,flow_rate,120.7991
90,BTL-02,pressure,4.6755
90,BTL-02,vibration,0.2482
91,BTL-02,flow_rate,121.3551
92,BTL-02,pressure,4.5945
92,BTL-02,vibration,0.2456
93,BTL-02,flow_rate,120.5398
94,BTL-02,pressure,4.6191
94,BTL-02,vibration,0.2313
95,BTL-02,flow_rate,120.0197
96,BTL-02,pressure,4.6388
96,BTL-02,vibration,0.2346
97,BTL-02,flow_rate,117.8692
98,BTL-02,pressure,4.5564
98,BTL-02,vibration,0.2489
99,BTL-02,flow_rate,116.3427
100,BTL-02,pressure,4.7800
100,BTL-02,vibration,0.2674
101,BTL-02,flow_rate,114.9230
102,BTL-02,pressure,4.7259
102,BTL-02,vibration,0.2631
103,BTL-02,flow_rate,112.7803
104,BTL-02,pressure,4.5643
104,BTL-02,vibration,0.2515
105,BTL-02,flow_rate,114.3377
106,BTL-02,pressure,4.5853
106,BTL-02,vibration,0.2732
107,BTL-02,flow_rate,114.6471
108,BTL-02,pressure,4.6298
108,BTL-02,vibration,0.2568
109,BTL-02,flow_rate,113.4686
110,BTL-02,pressure,4.4987
110,BTL-02,vibration,0.2370
111,BTL-02,flow_rate,116.6417
112,BTL-02,pressure,4.4148
112,BTL-02,vibration,0.2443
113,BTL-02,flow_rate,114.0104
114,BTL-02,pressure,4.5867
114,BTL-02,vibration,0.2382
115,BTL-02,flow_rate,116.3629
116,BTL-02,pressure,4.6827
116,BTL-02,vibration,0.2527
117,BTL-02,flow_rate,118.7236
118,BTL-02,pressure,4.7830
118,BTL-02,vibration,0.2534
119,BTL-02,flow_rate,121.8267
120,BTL-02,pressure,4.7885
120,BTL-02,vibration,0.2815
121,BTL-02,flow_rate,121.8822
122,BTL-02,pressure,4.9043
122,BTL-02,vibration,0.2769
123,BTL-02,flow_rate,124.4215
124,BTL-02,pressure,4.8299
124,BTL-02,vibration,0.2605
125,BTL-02,flow_rate,124.1830
126,BTL-02,pressure,5.0538
126,BTL-02,vibration,0.2682
127,BTL-02,flow_rate,121.8238
128,BTL-02,pressure,5.1671
128,BTL-02,vibration,0.2711
129,BTL-02,flow_rate,122.5280
130,BTL-02,pressure,5.2124
130,BTL-02,vibration,0.2540
131,BTL-02,flow_rate,121.0129
132,BTL-02,pressure,5.1681
132,BTL-02,vibration,0.2312
133,BTL-02,flow_rate,119.0621
134,BTL-02,pressure,4.9258
134,BTL-02,vibration,0.2482
135,BTL-02,flow_rate,119.5782
136,BTL-02,pressure,4.7572
136,BTL-02,vibration,0.2271
137,BTL-02,flow_rate,121.2165
138,BTL-02,pressure,4.7931
138,BTL-02,vibration,0.2270
139,BTL-02,flow_rate,118.4251
140,BTL-02,pressure,4.5562
140,BTL-02,vibration,0.2213
141,BTL-02,flow_rate,119.9648
142,BTL-02,pressure,4.5394
142,BTL-02,vibration,0.2145
143,BTL-02,flow_rate,121.4812
