#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-04,Banda transportadora,Línea 1,speed,operative,m/s,1.2,0.08,0.04,0,3,2.2,2.6,,,,
#BOTTLING,BTL-04,Banda transportadora,Línea 1,torque,operative,Nm,45,3,0.03,0,100,75,90,,,,
#BOTTLING,BTL-04,Banda transportadora,Línea 1,vibration,operative,g,0.18,0.02,0.05,0,1,0.45,0.6,,,,
#BOTTLING,BTL-04,Banda transportadora,Línea 1,cycle_time,operative,s,3.2,0.2,0.04,1,8,5.5,6.5,,,,
#DATA
ts,machine_id,var_name,value
0,BTL-04,speed,1.2042
0,BTL-04,vibration,0.1710
1,BTL-04,speed,1.1713
1,BTL-04,vibration,0.1791
2,BTL-04,speed,1.1590
2,BTL-04,vibration,0.1744
3,BTL-04,speed,1.1541
3,BTL-04,vibration,0.1783
4,BTL-04,speed,1.1439
4,BTL-04,vibration,0.1812
5,BTL-04,speed,1.1614
5,BTL-04,vibration,0.1869
6,BTL-04,speed,1.2005
6,BTL-04,vibration,0.1838
7,BTL-04,speed,1.1934
7,BTL-04,vibration,0.1790
8,BTL-04,speed,1.1985
8,BTL-04,vibration,0.1843
9,BTL-04,speed,1.2306
9,BTL-04,vibration,0.1837
10,BTL-04,speed,1.2689
10,BTL-04,vibration,0.1800
11,BTL-04,speed,1.2512
11,BTL-04,vibration,0.1873
12,BTL-04,speed,1.2346
12,BTL-04,vibration,0.1816
13,BTL-04,speed,1.2120
13,BTL-04,vibration,0.1873
14,BTL-04,speed,1.2115
14,BTL-04,vibration,0.1835
15,BTL-04,speed,1.2055
15,BTL-04,vibration,0.1765
16,BTL-04,speed,1.1984
16,BTL-04,vibration,0.1756
17,BTL-04,speed,1.1987
17,BTL-04,vibration,0.1689
18,BTL-04,speed,1.1999
18,BTL-04,vibration,0.1698
19,BTL-04,speed,1.2039
19,BTL-04,vibration,0.1663
20,BTL-04,speed,1.2314
20,BTL-04,vibration,0.1740
21,BTL-04,speed,1.1961
21,BTL-04,vibration,0.1814
22,BTL-04,speed,1.1817
22,BTL-04,vibration,0.1818
23,BTL-04,speed,1.2013
23,BTL-04,vibration,0.1910
24,BTL-04,speed,1.1958
24,BTL-04,vibration,0.1980
25,BTL-04,speed,1.2119
25,BTL-04,vibration,0.1942
26,BTL-04,speed,1.2390
26,BTL-04,vibration,0.1909
27,BTL-04,speed,1.2512
27,BTL-04,vibration,0.1875
28,BTL-04,speed,1.2486
28,BTL-04,vibration,0.1863
