#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-06,Etiquetadora,Línea 1,position,operative,mm,50,1.5,0.04,0,100,70,85,,,,
#BOTTLING,BTL-06,Etiquetadora,Línea 1,precision,operative,%,96,1,0.05,80,100,92,88,,,,
#BOTTLING,BTL-06,Etiquetadora,Línea 1,speed,operative,etiq/min,90,7,0.03,30,150,120,135,,,,
#BOTTLING,BTL-06,Etiquetadora,Línea 1,vibration,operative,g,0.22,0.03,0.05,0,1.2,0.5,0.7,,,,
#BOTTLING,BTL-06,Etiquetadora,Línea 1,label_position,quality,mm,1,0.3,0.05,0,5,3,4,1,2,0,1.33
#DATA
ts,machine_id,var_name,value
0,BTL-06,position,50.0787
0,BTL-06,vibration,0.0810
1,BTL-06,position,49.4628
1,BTL-06,vibration,0.0891
2,BTL-06,position,49.2317
2,BTL-06,vibration,0.0844
3,BTL-06,position,49.1400
3,BTL-06,vibration,0.0883
4,BTL-06,position,48.9488
4,BTL-06,vibration,0.0912
5,BTL-06,position,49.2757
5,BTL-06,vibration,0.0969
6,BTL-06,position,50.0103
6,BTL-06,vibration,0.0938
7,BTL-06,position,49.8764
7,BTL-06,vibration,0.0890
8,BTL-06,position,49.9712
8,BTL-06,vibration,0.0943
9,BTL-06,position,50.5746
9,BTL-06,vibration,0.0937
10,BTL-06,position,51.2912
10,BTL-06,vibration,0.0900
11,BTL-06,position,50.9598
11,BTL-06,vibration,0.0973
12,BTL-06,position,50.6485
12,BTL-06,vibration,0.0916
13,BTL-06,position,50.2257
13,BTL-06,vibration,0.0973
14,BTL-06,position,50.2164
14,BTL-06,vibration,0.0935
15,BTL-06,position,50.1027
15,BTL-06,vibration,0.0865
16,BTL-06,position,49.9696
16,BTL-06,vibration,0.0856
17,BTL-06,position,49.9757
17,BTL-06,vibration,0.0789
18,BTL-06,position,49.9983
18,BTL-06,vibration,0.0798
19,BTL-06,position,50.0736
19,BTL-06,vibration,0.0763
20,BTL-06,position,50.5880
20,BTL-06,vibration,0.0840
21,BTL-06,position,49.9278
21,BTL-06,vibration,0.0914
