fecha_hora,temperatura_C,vibracion_g,rpm,velocidad_avance_mm_min,profundidad_corte_mm,diametro_pieza_mm,rugosidad_Ra,oee_pct,defectos_pct,yield_pct
2026-05-21 06:00,64.2,0.39,8180,425.0,1.48,49.987,1.42,91.2,1.08,98.92
2026-05-21 06:10,64.8,0.41,8210,427.5,1.50,49.992,1.38,91.5,1.04,98.96
2026-05-21 06:20,65.3,0.40,8195,426.0,1.49,49.985,1.44,91.3,1.07,98.93
2026-05-21 06:30,65.1,0.42,8220,428.0,1.51,49.998,1.35,91.7,1.01,98.99
2026-05-21 06:40,64.7,0.39,8188,424.5,1.48,49.990,1.40,91.4,1.05,98.95
2026-05-21 06:50,65.5,0.43,8235,429.0,1.52,50.003,1.32,91.9,0.98,99.02
2026-05-21 07:00,66.0,0.41,8208,426.5,1.50,49.988,1.43,91.2,1.08,98.92
2026-05-21 07:10,66.4,0.40,8195,425.5,1.49,49.994,1.38,91.5,1.04,98.96
2026-05-21 07:20,65.8,0.42,8218,427.8,1.51,49.996,1.36,91.6,1.02,98.98
2026-05-21 07:30,65.2,0.39,8182,423.8,1.47,49.982,1.46,91.0,1.11,98.89
2026-05-21 07:40,65.6,0.41,8204,426.2,1.50,49.991,1.40,91.4,1.05,98.95
2026-05-21 07:50,66.1,0.40,8215,427.0,1.50,49.989,1.41,91.3,1.06,98.94
2026-05-21 08:00,66.8,0.43,8228,428.5,1.52,49.997,1.35,91.7,1.01,98.99
2026-05-21 08:10,67.2,0.44,8241,430.0,1.53,50.004,1.31,91.9,0.97,99.03
2026-05-21 08:20,67.6,0.42,8220,427.8,1.51,49.993,1.38,91.5,1.04,98.96
2026-05-21 08:30,66.9,0.41,8205,426.0,1.50,49.986,1.44,91.2,1.08,98.92
2026-05-21 08:40,66.3,0.40,8192,424.8,1.49,49.981,1.47,91.0,1.11,98.89
2026-05-21 08:50,65.9,0.39,8178,423.2,1.47,49.978,1.50,90.8,1.15,98.85
2026-05-21 09:00,65.4,0.41,8196,425.4,1.49,49.984,1.45,91.1,1.09,98.91
2026-05-21 09:10,65.8,0.42,8212,427.1,1.51,49.990,1.40,91.4,1.05,98.95
2026-05-21 09:20,66.4,0.40,8220,427.8,1.51,49.995,1.37,91.6,1.02,98.98
2026-05-21 09:30,67.0,0.43,8233,429.2,1.52,50.001,1.33,91.8,0.99,99.01
2026-05-21 09:40,67.5,0.41,8218,427.4,1.51,49.992,1.39,91.5,1.04,98.96
2026-05-21 09:50,67.1,0.40,8206,426.1,1.50,49.988,1.42,91.3,1.07,98.93
2026-05-21 10:00,66.7,0.42,8224,428.2,1.52,49.996,1.36,91.6,1.02,98.98
2026-05-21 10:10,67.8,0.44,8245,430.4,1.54,50.005,1.30,92.0,0.96,99.04
2026-05-21 10:20,68.4,0.46,8258,432.0,1.55,50.010,1.27,92.1,0.94,99.06
2026-05-21 10:30,68.9,0.48,8272,433.5,1.56,50.016,1.23,92.2,0.91,99.09
2026-05-21 10:40,69.4,0.51,8285,435.0,1.57,50.021,1.19,92.1,0.93,99.07
2026-05-21 10:50,70.1,0.54,8298,436.5,1.58,50.028,1.15,91.9,0.97,99.03
2026-05-21 11:00,70.8,0.57,8312,438.0,1.59,50.035,1.10,91.7,1.01,98.99
2026-05-21 11:10,71.4,0.60,8328,440.0,1.61,50.042,1.06,91.4,1.05,98.95
2026-05-21 11:20,71.9,0.64,8344,441.8,1.62,50.050,1.01,91.1,1.10,98.90
2026-05-21 11:30,72.4,0.68,8361,443.5,1.63,50.058,0.97,90.8,1.16,98.84
2026-05-21 11:40,72.8,0.71,8375,445.0,1.64,50.065,0.93,90.5,1.22,98.78
2026-05-21 11:50,73.1,0.74,8389,446.5,1.65,50.072,0.89,90.1,1.29,98.71
2026-05-21 12:00,73.4,0.77,8402,448.0,1.66,50.079,0.86,89.8,1.35,98.65
2026-05-21 12:10,73.6,0.78,8410,448.8,1.66,50.083,0.84,89.6,1.39,98.61
2026-05-21 12:20,73.2,0.76,8395,447.2,1.66,50.076,0.87,89.9,1.33,98.67
2026-05-21 12:30,72.7,0.72,8378,445.4,1.64,50.068,0.92,90.3,1.25,98.75
