#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#FURNACE,FUR-04,Controladores PID,Línea 2,setpoint_temp,operative,°C,218,0.5,0.06,180,260,242,248,,,,
#FURNACE,FUR-04,Controladores PID,Línea 2,response_time,operative,s,2.8,0.3,0.04,0.5,10,6,8,,,,
#FURNACE,FUR-04,Controladores PID,Línea 2,stability,operative,,0.92,0.03,0.03,0,1,0.7,0.5,,,,
#DATA
ts,machine_id,var_name,value
0,FUR-04,setpoint_temp,218.0262
0,FUR-04,stability,0.9065
1,FUR-04,response_time,2.5725
2,FUR-04,setpoint_temp,217.7423
2,FUR-04,stability,0.9035
3,FUR-04,response_time,2.4043
4,FUR-04,setpoint_temp,217.9175
4,FUR-04,stability,0.9062
5,FUR-04,response_time,2.3495
6,FUR-04,setpoint_temp,217.7854
6,FUR-04,stability,0.9065
7,FUR-04,response_time,2.5629
8,FUR-04,setpoint_temp,217.7282
8,FUR-04,stability,0.9011
9,FUR-04,response_time,2.8100
10,FUR-04,setpoint_temp,217.9967
10,FUR-04,stability,0.9163
11,FUR-04,response_time,2.8358
12,FUR-04,setpoint_temp,218.4493
12,FUR-04,stability,0.8985
13,FUR-04,response_time,2.7112
14,FUR-04,setpoint_temp,218.6793
14,FUR-04,stability,0.9009
15,FUR-04,response_time,2.8954
16,FUR-04,setpoint_temp,218.8942
16,FUR-04,stability,0.9235
17,FUR-04,response_time,2.9116
18,FUR-04,setpoint_temp,218.8640
18,FUR-04,stability,0.9180
19,FUR-04,response_time,2.7619
20,FUR-04,setpoint_temp,218.6715
20,FUR-04,stability,0.9224
21,FUR-04,response_time,2.8784
22,FUR-04,setpoint_temp,218.7898
22,FUR-04,stability,0.9216
23,FUR-04,response_time,2.9160
24,FUR-04,setpoint_temp,218.7584
24,FUR-04,stability,0.9242
25,FUR-04,response_time,2.6679
26,FUR-04,setpoint_temp,218.6550
26,FUR-04,stability,0.9116
27,FUR-04,response_time,2.9411
28,FUR-04,setpoint_temp,218.7007
28,FUR-04,stability,0.9133
29,FUR-04,response_time,3.1385
30,FUR-04,setpoint_temp,218.5942
30,FUR-04,stability,0.9108
31,FUR-04,response_time,3.3171
32,FUR-04,setpoint_temp,218.7883
32,FUR-04,stability,0.9279
33,FUR-04,response_time,3.2148
34,FUR-04,setpoint_temp,218.8316
34,FUR-04,stability,0.9075
35,FUR-04,response_time,3.1555
36,FUR-04,setpoint_temp,218.7699
36,FUR-04,stability,0.9000
37,FUR-04,response_time,3.2297
38,FUR-04,setpoint_temp,218.5170
38,FUR-04,stability,0.8988
39,FUR-04,response_time,3.1877
40,FUR-04,setpoint_temp,218.3637
40,FUR-04,stability,0.8788
41,FUR-04,response_time,3.1487
42,FUR-04,setpoint_temp,218.5157
42,FUR-04,stability,0.8626
43,FUR-04,response_time,3.0468
44,FUR-04,setpoint_temp,218.4804
44,FUR-04,stability,0.8772
45,FUR-04,response_time,2.9346
46,FUR-04,setpoint_temp,218.4660
46,FUR-04,stability,0.8754
47,FUR-04,response_time,3.0120
48,FUR-04,setpoint_temp,218.0773
48,FUR-04,stability,0.8734
49,FUR-04,response_time,3.0286
50,FUR-04,setpoint_temp,217.9563
50,FUR-04,stability,0.8684
51,FUR-04,response_time,2.9059
52,FUR-04,setpoint_temp,218.3512
52,FUR-04,stability,0.8780
53,FUR-04,response_time,2.9993
54,FUR-04,setpoint_temp,218.4953
54,FUR-04,stability,0.8990
55,FUR-04,response_time,3.0961
56,FUR-04,setpoint_temp,218.4768
56,FUR-04,stability,0.8956
57,FUR-04,response_time,2.8988
58,FUR-04,setpoint_temp,218.5257
58,FUR-04,stability,0.8882
59,FUR-04,response_time,2.8195
60,FUR-04,setpoint_temp,218.5918
60,FUR-04,stability,0.8887
61,FUR-04,response_time,2.9232
62,FUR-04,setpoint_temp,218.3019
62,FUR-04,stability,0.8858
63,FUR-04,response_time,2.9526
64,FUR-04,setpoint_temp,218.3704
64,FUR-04,stability,0.8810
65,FUR-04,response_time,2.8374
66,FUR-04,setpoint_temp,218.6269
66,FUR-04,stability,0.8974
67,FUR-04,response_time,2.6259
68,FUR-04,setpoint_temp,218.5665
68,FUR-04,stability,0.8744
69,FUR-04,response_time,2.7913
70,FUR-04,setpoint_temp,218.7498
70,FUR-04,stability,0.8691
71,FUR-04,response_time,2.8980
72,FUR-04,setpoint_temp,218.6455
72,FUR-04,stability,0.8730
73,FUR-04,response_time,2.6597
74,FUR-04,setpoint_temp,218.6307
74,FUR-04,stability,0.8621
75,FUR-04,response_time,2.4719
76,FUR-04,setpoint_temp,218.9628
76,FUR-04,stability,0.8718
77,FUR-04,response_time,2.5940
78,FUR-04,setpoint_temp,218.9585
78,FUR-04,stability,0.8933
79,FUR-04,response_time,2.7368
80,FUR-04,setpoint_temp,219.1175
80,FUR-04,stability,0.9154
81,FUR-04,response_time,2.6854
82,FUR-04,setpoint_temp,218.7629
82,FUR-04,stability,0.9147
83,FUR-04,response_time,2.5884
84,FUR-04,setpoint_temp,218.5230
84,FUR-04,stability,0.9270
85,FUR-04,response_time,2.6457
86,FUR-04,setpoint_temp,218.2514
86,FUR-04,stability,0.9124
87,FUR-04,response_time,2.7899
88,FUR-04,setpoint_temp,218.3217
88,FUR-04,stability,0.9280
89,FUR-04,response_time,2.8479
