fecha_hora,temperatura_C,presion_bar,velocidad_pct,vibracion_g,torque_Nm,humedad_pct,rpm,diametro_mm,oee_pct,defectos_pct,yield_pct
2026-05-21 06:00,198.4,118.2,69.1,0.38,208.4,33.1,138,12.497,87.2,1.28,98.72
2026-05-21 06:10,199.1,119.4,70.2,0.41,210.1,33.4,140,12.503,88.1,1.21,98.79
2026-05-21 06:20,200.3,120.1,70.8,0.39,211.8,33.2,141,12.501,88.6,1.18,98.82
2026-05-21 06:30,201.2,120.8,71.3,0.40,212.4,33.6,142,12.498,89.0,1.15,98.85
2026-05-21 06:40,200.8,119.7,70.5,0.42,211.2,34.0,140,12.504,88.4,1.20,98.80
2026-05-21 06:50,199.6,118.9,69.8,0.38,209.8,33.8,139,12.499,87.9,1.25,98.75
2026-05-21 07:00,200.1,120.3,70.2,0.40,210.6,33.5,140,12.502,88.3,1.19,98.81
2026-05-21 07:10,201.4,121.0,71.1,0.41,212.9,33.7,141,12.500,89.1,1.14,98.86
2026-05-21 07:20,200.9,120.5,70.7,0.39,211.5,33.4,140,12.503,88.8,1.17,98.83
2026-05-21 07:30,199.8,119.8,70.0,0.43,210.2,34.2,139,12.497,88.0,1.23,98.77
2026-05-21 07:40,202.1,121.4,71.5,0.40,213.5,33.6,142,12.501,89.4,1.12,98.88
2026-05-21 07:50,201.6,120.9,71.0,0.41,212.1,33.3,141,12.504,89.0,1.16,98.84
2026-05-21 08:00,200.4,120.2,70.4,0.39,210.9,33.9,140,12.499,88.5,1.20,98.80
2026-05-21 08:10,199.2,119.1,69.5,0.44,208.7,34.5,138,12.496,87.6,1.29,98.71
2026-05-21 08:20,200.7,120.6,70.8,0.40,211.3,33.7,141,12.502,88.9,1.16,98.84
2026-05-21 08:30,201.9,121.2,71.4,0.42,213.0,33.4,142,12.500,89.3,1.13,98.87
2026-05-21 08:40,200.2,119.9,70.1,0.38,210.4,33.8,140,12.503,88.2,1.21,98.79
2026-05-21 08:50,199.5,119.3,69.7,0.41,209.1,34.1,139,12.498,87.8,1.26,98.74
2026-05-21 09:00,201.1,120.7,71.0,0.40,212.3,33.5,141,12.501,89.0,1.15,98.85
2026-05-21 09:10,202.4,121.6,71.7,0.43,214.1,33.2,142,12.505,89.6,1.10,98.90
2026-05-21 09:20,201.3,120.8,71.2,0.41,212.6,33.6,141,12.502,89.2,1.14,98.86
2026-05-21 09:30,200.0,120.0,70.3,0.39,210.7,33.9,140,12.499,88.4,1.20,98.80
2026-05-21 09:40,198.8,118.7,69.2,0.45,208.2,34.6,138,12.494,87.3,1.32,98.68
2026-05-21 09:50,199.9,119.6,70.0,0.40,209.9,33.8,139,12.498,88.1,1.22,98.78
2026-05-21 10:00,201.5,121.0,71.3,0.42,212.8,33.4,141,12.501,89.1,1.14,98.86
2026-05-21 10:10,202.8,121.9,72.0,0.41,214.6,33.1,143,12.506,89.8,1.08,98.92
2026-05-21 10:20,201.8,121.1,71.5,0.40,213.2,33.5,142,12.503,89.4,1.12,98.88
