fecha_hora,temp_zona1_C,temp_zona2_C,temp_zona3_C,humedad_pct,velocidad_cinta_m_min,tiempo_curado_min,espesor_curado_mm,oee_pct,defectos_pct,yield_pct
2026-05-21 06:00,210.4,215.8,212.1,28.4,1.42,18.2,2.401,88.4,1.62,98.38
2026-05-21 06:10,211.2,216.4,212.8,28.1,1.43,18.4,2.399,88.7,1.58,98.42
2026-05-21 06:20,212.0,217.1,213.4,27.8,1.44,18.5,2.397,89.0,1.54,98.46
2026-05-21 06:30,211.5,216.7,213.0,28.0,1.43,18.3,2.400,88.8,1.57,98.43
2026-05-21 06:40,210.8,216.2,212.5,28.3,1.42,18.2,2.402,88.5,1.61,98.39
2026-05-21 06:50,211.4,216.8,213.1,28.0,1.43,18.4,2.398,88.8,1.56,98.44
2026-05-21 07:00,212.2,217.4,213.7,27.7,1.44,18.6,2.396,89.1,1.52,98.48
2026-05-21 07:10,212.8,218.0,214.2,27.4,1.45,18.7,2.394,89.4,1.48,98.52
2026-05-21 07:20,213.4,218.6,214.8,27.1,1.46,18.9,2.392,89.7,1.44,98.56
2026-05-21 07:30,213.9,219.1,215.3,26.8,1.47,19.0,2.390,90.0,1.40,98.60
2026-05-21 07:40,214.4,219.6,215.8,26.5,1.47,19.1,2.388,90.2,1.37,98.63
2026-05-21 07:50,214.8,220.0,216.2,26.3,1.48,19.2,2.386,90.4,1.34,98.66
2026-05-21 08:00,215.2,220.4,216.6,26.0,1.48,19.3,2.385,90.6,1.31,98.69
2026-05-21 08:10,215.5,220.7,216.9,25.8,1.49,19.4,2.383,90.8,1.28,98.72
2026-05-21 08:20,215.8,221.0,217.2,25.6,1.49,19.5,2.382,90.9,1.26,98.74
2026-05-21 08:30,215.9,221.1,217.3,25.5,1.50,19.5,2.381,91.0,1.25,98.75
2026-05-21 08:40,215.8,221.0,217.2,25.6,1.49,19.4,2.382,91.0,1.25,98.75
2026-05-21 08:50,215.6,220.8,217.0,25.7,1.49,19.4,2.383,90.9,1.27,98.73
2026-05-21 09:00,215.3,220.5,216.7,25.9,1.48,19.3,2.384,90.8,1.29,98.71
2026-05-21 09:10,215.0,220.2,216.4,26.1,1.48,19.2,2.385,90.6,1.32,98.68
2026-05-21 09:20,214.7,219.9,216.1,26.3,1.47,19.1,2.387,90.4,1.35,98.65
2026-05-21 09:30,214.3,219.5,215.7,26.6,1.47,19.0,2.389,90.2,1.38,98.62
2026-05-21 09:40,213.9,219.1,215.3,26.9,1.46,18.9,2.391,90.0,1.42,98.58
2026-05-21 09:50,213.5,218.7,214.9,27.2,1.45,18.8,2.393,89.7,1.46,98.54
2026-05-21 10:00,213.1,218.3,214.5,27.5,1.44,18.6,2.395,89.4,1.50,98.50
2026-05-21 10:10,215.4,220.6,216.8,26.0,1.49,19.3,2.384,90.7,1.30,98.70
2026-05-21 10:20,216.8,222.0,218.2,25.2,1.51,19.7,2.378,91.2,1.22,98.78
2026-05-21 10:30,218.2,223.4,219.6,24.4,1.53,20.1,2.371,91.6,1.14,98.86
2026-05-21 10:40,219.6,224.8,221.0,23.6,1.55,20.5,2.364,91.9,1.07,98.93
2026-05-21 10:50,221.0,226.2,222.4,22.8,1.57,20.9,2.357,92.1,1.01,98.99
2026-05-21 11:00,222.4,227.6,223.8,22.0,1.59,21.3,2.350,92.2,0.96,99.04
2026-05-21 11:10,223.8,229.0,225.2,21.2,1.61,21.7,2.343,92.1,0.98,99.02
2026-05-21 11:20,225.2,230.4,226.6,20.4,1.63,22.1,2.336,91.8,1.04,98.96
2026-05-21 11:30,226.6,231.8,228.0,19.6,1.65,22.5,2.329,91.4,1.12,98.88
2026-05-21 11:40,228.0,233.2,229.4,18.8,1.67,22.9,2.322,90.9,1.22,98.78
2026-05-21 11:50,229.4,234.6,230.8,18.0,1.69,23.3,2.315,90.3,1.34,98.66
2026-05-21 12:00,230.8,236.0,232.2,17.2,1.71,23.7,2.308,89.6,1.48,98.52
2026-05-21 12:10,232.2,237.4,233.6,16.4,1.73,24.1,2.301,88.8,1.64,98.36
2026-05-21 12:20,233.6,238.8,235.0,15.6,1.75,24.5,2.294,88.0,1.82,98.18
2026-05-21 12:30,235.0,240.2,236.4,14.8,1.77,24.9,2.287,87.1,2.02,97.98
2026-05-21 12:40,236.4,241.6,237.8,14.0,1.79,25.3,2.280,86.1,2.24,97.76
2026-05-21 12:50,237.8,243.0,239.2,13.2,1.81,25.7,2.273,85.0,2.48,97.52
2026-05-21 13:00,239.2,244.4,240.6,12.4,1.83,26.1,2.266,83.8,2.75,97.25
2026-05-21 13:10,240.6,245.8,242.0,11.6,1.85,26.5,2.259,82.5,3.04,96.96
2026-05-21 13:20,242.0,247.2,243.4,10.8,1.87,26.9,2.252,81.1,3.36,96.64
