#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#FURNACE,FUR-01,Horno industrial,Línea 2,temperature,operative,°C,220,1.5,0.02,180,260,242,248,,,,
#FURNACE,FUR-01,Horno industrial,Línea 2,residence_time,operative,min,45,2,0.03,20,90,70,80,,,,
#FURNACE,FUR-01,Horno industrial,Línea 2,energy,operative,kWh,88,4,0.03,20,150,120,135,,,,
#FURNACE,FUR-01,Horno industrial,Línea 2,hardness,quality,HRC,58,1.5,0.04,30,70,55,50,58,62,54,1.33
#FURNACE,FUR-01,Horno industrial,Línea 2,fragility,quality,,3.5,0.4,0.05,1,10,6.5,8,3.5,5,2,1.33
#FURNACE,FUR-01,Horno industrial,Línea 2,residual_humidity,quality,%,1.5,0.2,0.04,0,10,3.5,5,1.5,2.5,0.5,1.33
#FURNACE,FUR-01,Horno industrial,Línea 2,thermal_uniformity,quality,%,95,1,0.03,70,100,90,85,95,98,92,1.33
#DATA
ts,machine_id,var_name,value
0,FUR-01,temperature,226.0787
0,FUR-01,temperature,214.3689
0,FUR-01,hardness,57.8429
0,FUR-01,residual_humidity,1.4183
1,FUR-01,temperature,219.9113
1,FUR-01,temperature,214.1585
1,FUR-01,hardness,57.4969
1,FUR-01,residual_humidity,1.3656
2,FUR-01,temperature,220.1883
2,FUR-01,temperature,213.6856
2,FUR-01,hardness,57.2915
2,FUR-01,residual_humidity,1.3989
3,FUR-01,temperature,220.4656
3,FUR-01,temperature,214.1420
3,FUR-01,hardness,57.9274
3,FUR-01,residual_humidity,1.4970
4,FUR-01,temperature,220.5369
4,FUR-01,temperature,214.0518
4,FUR-01,hardness,57.5757
4,FUR-01,residual_humidity,1.5651
5,FUR-01,temperature,220.9115
5,FUR-01,temperature,214.6572
5,FUR-01,hardness,58.1950
5,FUR-01,residual_humidity,1.5586
6,FUR-01,temperature,221.6146
6,FUR-01,temperature,214.4238
6,FUR-01,hardness,57.8841
6,FUR-01,residual_humidity,1.5190
7,FUR-01,temperature,222.0776
7,FUR-01,temperature,214.1921
7,FUR-01,hardness,57.4826
7,FUR-01,residual_humidity,1.5501
8,FUR-01,temperature,222.4309
8,FUR-01,temperature,214.9209
8,FUR-01,hardness,57.5031
8,FUR-01,residual_humidity,1.5126
9,FUR-01,temperature,222.2287
9,FUR-01,temperature,214.4440
9,FUR-01,hardness,57.0993
9,FUR-01,residual_humidity,1.4949
10,FUR-01,temperature,221.8977
10,FUR-01,temperature,214.4708
10,FUR-01,hardness,56.6183
10,FUR-01,residual_humidity,1.5122
11,FUR-01,temperature,221.8556
11,FUR-01,temperature,214.7602
11,FUR-01,hardness,56.7487
11,FUR-01,residual_humidity,1.4734
12,FUR-01,temperature,222.2987
12,FUR-01,temperature,215.2648
12,FUR-01,hardness,56.7324
12,FUR-01,residual_humidity,1.3896
13,FUR-01,temperature,222.2061
13,FUR-01,temperature,214.9991
13,FUR-01,hardness,56.8182
13,FUR-01,residual_humidity,1.4851
14,FUR-01,temperature,222.8144
14,FUR-01,temperature,215.0513
14,FUR-01,hardness,56.7620
14,FUR-01,residual_humidity,1.5596
15,FUR-01,temperature,223.0015
15,FUR-01,temperature,214.8332
15,FUR-01,hardness,56.2752
15,FUR-01,residual_humidity,1.6262
16,FUR-01,temperature,223.2585
16,FUR-01,temperature,215.0805
16,FUR-01,hardness,56.1218
16,FUR-01,residual_humidity,1.5982
17,FUR-01,temperature,223.0563
17,FUR-01,temperature,214.7775
17,FUR-01,hardness,56.7687
17,FUR-01,residual_humidity,1.6080
18,FUR-01,temperature,222.3996
18,FUR-01,temperature,214.2289
18,FUR-01,hardness,56.1505
18,FUR-01,residual_humidity,1.6189
19,FUR-01,temperature,222.0397
19,FUR-01,temperature,214.3887
19,FUR-01,hardness,55.7541
19,FUR-01,residual_humidity,1.6411
20,FUR-01,temperature,221.8576
20,FUR-01,temperature,213.7427
20,FUR-01,hardness,56.4379
20,FUR-01,residual_humidity,1.7198
21,FUR-01,temperature,222.0481
21,FUR-01,temperature,213.1755
21,FUR-01,hardness,55.8290
21,FUR-01,residual_humidity,1.6778
22,FUR-01,temperature,221.8512
22,FUR-01,temperature,213.8774
22,FUR-01,hardness,55.5831
22,FUR-01,residual_humidity,1.6266
23,FUR-01,temperature,222.3049
23,FUR-01,temperature,213.6865
23,FUR-01,hardness,55.2986
23,FUR-01,residual_humidity,1.5920
24,FUR-01,temperature,221.8094
24,FUR-01,temperature,213.2306
24,FUR-01,hardness,56.1062
24,FUR-01,residual_humidity,1.6760
25,FUR-01,temperature,221.8482
25,FUR-01,temperature,212.9205
25,FUR-01,hardness,55.4431
25,FUR-01,residual_humidity,1.5881
26,FUR-01,temperature,222.4192
26,FUR-01,temperature,213.3265
26,FUR-01,hardness,55.7478
26,FUR-01,residual_humidity,1.5736
27,FUR-01,temperature,222.1571
27,FUR-01,temperature,213.8532
27,FUR-01,hardness,55.5524
27,FUR-01,residual_humidity,1.6530
28,FUR-01,temperature,222.0608
28,FUR-01,temperature,213.5843
28,FUR-01,hardness,55.4316
28,FUR-01,residual_humidity,1.5529
29,FUR-01,temperature,221.5664
29,FUR-01,temperature,213.6884
29,FUR-01,hardness,56.2816
29,FUR-01,residual_humidity,1.5868
30,FUR-01,temperature,221.8615
30,FUR-01,temperature,213.5730
30,FUR-01,hardness,57.0538
30,FUR-01,residual_humidity,1.6275
31,FUR-01,temperature,221.6260
31,FUR-01,temperature,213.6980
31,FUR-01,hardness,56.9342
31,FUR-01,residual_humidity,1.6147
32,FUR-01,temperature,221.1470
32,FUR-01,temperature,213.9309
32,FUR-01,hardness,57.0837
32,FUR-01,residual_humidity,1.6012
33,FUR-01,temperature,221.2775
33,FUR-01,temperature,213.9550
33,FUR-01,hardness,56.6589
33,FUR-01,residual_humidity,1.5303
34,FUR-01,temperature,220.9336
34,FUR-01,temperature,213.3842
34,FUR-01,hardness,56.7441
34,FUR-01,residual_humidity,1.5873
35,FUR-01,temperature,221.5297
