#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#FURNACE,FUR-02,Sistema de ventilación,Línea 2,air_flow,operative,m³/s,8.5,0.5,0.04,2,15,12,14,,,,
#FURNACE,FUR-02,Sistema de ventilación,Línea 2,fan_vibration,operative,g,0.35,0.04,0.05,0,2,0.85,1.1,,,,
#FURNACE,FUR-02,Sistema de ventilación,Línea 2,fan_speed,operative,RPM,1450,50,0.03,500,3000,2500,2800,,,,
#DATA
ts,machine_id,var_name,value
0,FUR-02,air_flow,8.5262
0,FUR-02,fan_speed,1427.4622
1,FUR-02,fan_vibration,0.3197
2,FUR-02,air_flow,8.2423
2,FUR-02,fan_speed,1422.5372
3,FUR-02,fan_vibration,0.2972
4,FUR-02,air_flow,8.4175
4,FUR-02,fan_speed,1427.0267
5,FUR-02,fan_vibration,0.2899
6,FUR-02,air_flow,8.2854
6,FUR-02,fan_speed,1427.5676
7,FUR-02,fan_vibration,0.3184
8,FUR-02,air_flow,8.2282
8,FUR-02,fan_speed,1418.4767
9,FUR-02,fan_vibration,0.3513
10,FUR-02,air_flow,8.4967
10,FUR-02,fan_speed,1443.7778
11,FUR-02,fan_vibration,0.3548
12,FUR-02,air_flow,8.9493
12,FUR-02,fan_speed,1414.1353
13,FUR-02,fan_vibration,0.3382
14,FUR-02,air_flow,9.1793
14,FUR-02,fan_speed,1418.1986
15,FUR-02,fan_vibration,0.3627
16,FUR-02,air_flow,9.3942
16,FUR-02,fan_speed,1455.8848
17,FUR-02,fan_vibration,0.3649
18,FUR-02,air_flow,9.3640
18,FUR-02,fan_speed,1446.6869
19,FUR-02,fan_vibration,0.3449
20,FUR-02,air_flow,9.1715
20,FUR-02,fan_speed,1454.0073
21,FUR-02,fan_vibration,0.3605
22,FUR-02,air_flow,9.2898
22,FUR-02,fan_speed,1452.6364
23,FUR-02,fan_vibration,0.3655
24,FUR-02,air_flow,9.2584
24,FUR-02,fan_speed,1456.9744
25,FUR-02,fan_vibration,0.3324
26,FUR-02,air_flow,9.1550
26,FUR-02,fan_speed,1436.0707
27,FUR-02,fan_vibration,0.3688
28,FUR-02,air_flow,9.2007
28,FUR-02,fan_speed,1438.7599
29,FUR-02,fan_vibration,0.3951
30,FUR-02,air_flow,9.0942
30,FUR-02,fan_speed,1434.7142
31,FUR-02,fan_vibration,0.4189
32,FUR-02,air_flow,9.2883
32,FUR-02,fan_speed,1463.2308
33,FUR-02,fan_vibration,0.4053
34,FUR-02,air_flow,9.3316
34,FUR-02,fan_speed,1429.1103
35,FUR-02,fan_vibration,0.3974
36,FUR-02,air_flow,9.2699
36,FUR-02,fan_speed,1416.6443
37,FUR-02,fan_vibration,0.4073
38,FUR-02,air_flow,9.0170
38,FUR-02,fan_speed,1414.6458
39,FUR-02,fan_vibration,0.4017
40,FUR-02,air_flow,8.8637
40,FUR-02,fan_speed,1381.2975
41,FUR-02,fan_vibration,0.3965
42,FUR-02,air_flow,9.0157
42,FUR-02,fan_speed,1354.3080
43,FUR-02,fan_vibration,0.3829
44,FUR-02,air_flow,8.9804
44,FUR-02,fan_speed,1378.7452
45,FUR-02,fan_vibration,0.3680
46,FUR-02,air_flow,8.9660
46,FUR-02,fan_speed,1375.6863
47,FUR-02,fan_vibration,0.3783
48,FUR-02,air_flow,8.5773
