#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#FURNACE,FUR-03,Sensores térmicos,Línea 2,precision,operative,°C,0.5,0.05,0.04,0,3,1.5,2,,,,
#FURNACE,FUR-03,Sensores térmicos,Línea 2,drift,operative,°C/h,0.05,0.02,0.01,0,2,0.8,1.2,,,,
#FURNACE,FUR-03,Sensores térmicos,Línea 2,measurement_error,operative,%,1,0.1,0.05,0,10,5,7,,,,
#FURNACE,FUR-03,Sensores térmicos,Línea 2,color_uniformity,quality,%,92,1.5,0.04,60,100,85,75,92,96,88,1.33
#DATA
ts,machine_id,var_name,value
0,FUR-03,precision,0.5026
0,FUR-03,measurement_error,0.9549
1,FUR-03,precision,0.4821
1,FUR-03,measurement_error,0.9955
2,FUR-03,precision,0.4744
2,FUR-03,measurement_error,0.9722
3,FUR-03,precision,0.4713
3,FUR-03,measurement_error,0.9915
4,FUR-03,precision,0.4650
4,FUR-03,measurement_error,1.0058
5,FUR-03,precision,0.4759
5,FUR-03,measurement_error,1.0344
6,FUR-03,precision,0.5003
6,FUR-03,measurement_error,1.0192
7,FUR-03,precision,0.4959
7,FUR-03,measurement_error,0.9948
8,FUR-03,precision,0.4990
8,FUR-03,measurement_error,1.0214
9,FUR-03,precision,0.5192
9,FUR-03,measurement_error,1.0186
10,FUR-03,precision,0.5430
10,FUR-03,measurement_error,1.0002
11,FUR-03,precision,0.5320
11,FUR-03,measurement_error,1.0363
12,FUR-03,precision,0.5216
12,FUR-03,measurement_error,1.0078
13,FUR-03,precision,0.5075
13,FUR-03,measurement_error,1.0366
14,FUR-03,precision,0.5072
14,FUR-03,measurement_error,1.0173
15,FUR-03,precision,0.5034
15,FUR-03,measurement_error,0.9824
16,FUR-03,precision,0.4990
16,FUR-03,measurement_error,0.9779
17,FUR-03,precision,0.4992
17,FUR-03,measurement_error,0.9443
18,FUR-03,precision,0.4999
18,FUR-03,measurement_error,0.9488
19,FUR-03,precision,0.5025
19,FUR-03,measurement_error,0.9317
20,FUR-03,precision,0.5196
20,FUR-03,measurement_error,0.9698
21,FUR-03,precision,0.4976
21,FUR-03,measurement_error,1.0070
22,FUR-03,precision,0.4886
22,FUR-03,measurement_error,1.0091
23,FUR-03,precision,0.5008
23,FUR-03,measurement_error,1.0552
24,FUR-03,precision,0.4974
24,FUR-03,measurement_error,1.0899
25,FUR-03,precision,0.5074
25,FUR-03,measurement_error,1.0709
26,FUR-03,precision,0.5244
26,FUR-03,measurement_error,1.0547
27,FUR-03,precision,0.5320
27,FUR-03,measurement_error,1.0377
28,FUR-03,precision,0.5304
28,FUR-03,measurement_error,1.0314
29,FUR-03,precision,0.5482
29,FUR-03,measurement_error,1.0370
30,FUR-03,precision,0.5285
30,FUR-03,measurement_error,0.9957
31,FUR-03,precision,0.5312
31,FUR-03,measurement_error,0.9880
32,FUR-03,precision,0.5345
32,FUR-03,measurement_error,0.9571
33,FUR-03,precision,0.5495
33,FUR-03,measurement_error,0.9522
34,FUR-03,precision,0.5673
34,FUR-03,measurement_error,0.9963
35,FUR-03,precision,0.5734
35,FUR-03,measurement_error,0.9523
36,FUR-03,precision,0.5622
36,FUR-03,measurement_error,0.9992
37,FUR-03,precision,0.5821
37,FUR-03,measurement_error,0.9770
38,FUR-03,precision,0.5540
38,FUR-03,measurement_error,1.0131
39,FUR-03,precision,0.5391
39,FUR-03,measurement_error,0.9979
40,FUR-03,precision,0.5241
40,FUR-03,measurement_error,0.9616
41,FUR-03,precision,0.5451
41,FUR-03,measurement_error,0.9564
42,FUR-03,precision,0.5297
42,FUR-03,measurement_error,0.9089
43,FUR-03,precision,0.5136
43,FUR-03,measurement_error,0.9555
44,FUR-03,precision,0.5198
44,FUR-03,measurement_error,0.9518
45,FUR-03,precision,0.5135
45,FUR-03,measurement_error,0.9866
46,FUR-03,precision,0.5336
46,FUR-03,measurement_error,0.9784
47,FUR-03,precision,0.5210
47,FUR-03,measurement_error,0.9646
48,FUR-03,precision,0.5313
48,FUR-03,measurement_error,0.9386
49,FUR-03,precision,0.5549
49,FUR-03,measurement_error,0.9591
50,FUR-03,precision,0.5646
50,FUR-03,measurement_error,0.9487
51,FUR-03,precision,0.5731
51,FUR-03,measurement_error,0.9590
52,FUR-03,precision,0.5726
52,FUR-03,measurement_error,0.9501
53,FUR-03,precision,0.5604
53,FUR-03,measurement_error,0.9245
54,FUR-03,precision,0.5615
54,FUR-03,measurement_error,0.9231
55,FUR-03,precision,0.5650
55,FUR-03,measurement_error,0.9248
56,FUR-03,precision,0.5457
56,FUR-03,measurement_error,0.9689
57,FUR-03,precision,0.5219
57,FUR-03,measurement_error,0.9723
58,FUR-03,precision,0.5135
