#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_time,operative,s,2.5,0.15,0.04,1,5,3.5,4.2,,,,
#BOTTLING,BTL-03,Llenadora automática,Línea 1,precision,operative,%,98.5,0.5,0.05,80,100,95,90,,,,
#BOTTLING,BTL-03,Llenadora automática,Línea 1,speed,operative,bot/min,120,8,0.03,40,200,160,180,,,,
#BOTTLING,BTL-03,Llenadora automática,Línea 1,vibration,operative,g,0.18,0.025,0.05,0,1.0,0.45,0.6,,,,
#BOTTLING,BTL-03,Llenadora automática,Línea 1,nozzle_state,operative,,0.95,0.02,0.02,0,1,0.7,0.5,,,,
#BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_volume,quality,mL,500,1.5,0.05,480,520,505,510,500,505,495,1.33
#BOTTLING,BTL-03,Llenadora automática,Línea 1,bottle_weight,quality,g,510,2,0.04,490,530,518,525,510,518,502,1.33
#BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_level,quality,%,95,1.2,0.05,85,100,98,99,95,99,91,1.33
#DATA
ts,machine_id,var_name,value
0,BTL-03,temperature,80.0629
0,BTL-03,fill_time,2.4324
0,BTL-03,fill_volume,503.8429
0,BTL-03,fill_level,94.5098
1,BTL-03,vibration,0.1708
1,BTL-03,precision,98.4819
1,BTL-03,bottle_weight,508.6218
2,BTL-03,temperature,80.4549
2,BTL-03,fill_time,2.4140
2,BTL-03,fill_volume,499.1383
2,BTL-03,fill_level,94.5209
3,BTL-03,vibration,0.1658
3,BTL-03,precision,98.3654
3,BTL-03,bottle_weight,509.0916
4,BTL-03,temperature,80.6073
4,BTL-03,fill_time,2.3580
4,BTL-03,fill_volume,499.4806
4,BTL-03,fill_level,94.0940
5,BTL-03,vibration,0.1712
5,BTL-03,precision,98.3007
5,BTL-03,bottle_weight,510.5349
6,BTL-03,temperature,81.3179
6,BTL-03,fill_time,2.3739
6,BTL-03,fill_volume,499.5639
6,BTL-03,fill_level,94.8859
7,BTL-03,vibration,0.1761
7,BTL-03,precision,98.0101
7,BTL-03,bottle_weight,510.4319
8,BTL-03,temperature,81.5402
8,BTL-03,fill_time,2.3700
8,BTL-03,fill_volume,500.1477
8,BTL-03,fill_level,94.2497
9,BTL-03,vibration,0.1839
9,BTL-03,precision,98.1711
9,BTL-03,bottle_weight,510.4558
10,BTL-03,temperature,81.6432
10,BTL-03,fill_time,2.3850
10,BTL-03,fill_volume,499.9372
10,BTL-03,fill_level,94.4070
11,BTL-03,vibration,0.1727
11,BTL-03,precision,98.3946
11,BTL-03,bottle_weight,509.5539
12,BTL-03,temperature,81.3973
12,BTL-03,fill_time,2.4413
12,BTL-03,fill_volume,500.9038
12,BTL-03,fill_level,94.8969
13,BTL-03,vibration,0.1860
13,BTL-03,precision,98.7440
13,BTL-03,bottle_weight,509.7601
14,BTL-03,temperature,80.4632
14,BTL-03,fill_time,2.4324
14,BTL-03,fill_volume,500.2739
14,BTL-03,fill_level,94.8136
15,BTL-03,vibration,0.1902
15,BTL-03,precision,98.6790
15,BTL-03,bottle_weight,511.5496
16,BTL-03,temperature,80.0199
16,BTL-03,fill_time,2.4923
16,BTL-03,fill_volume,500.5795
16,BTL-03,fill_level,95.4581
17,BTL-03,vibration,0.1762
17,BTL-03,precision,98.8654
17,BTL-03,bottle_weight,511.1583
18,BTL-03,temperature,80.7804
18,BTL-03,fill_time,2.5052
18,BTL-03,fill_volume,500.9234
18,BTL-03,fill_level,95.7915
19,BTL-03,vibration,0.1671
19,BTL-03,precision,99.1564
19,BTL-03,bottle_weight,510.3098
20,BTL-03,temperature,80.1022
20,BTL-03,fill_time,2.4771
20,BTL-03,fill_volume,500.7286
20,BTL-03,fill_level,95.9603
21,BTL-03,vibration,0.1699
21,BTL-03,precision,99.1278
21,BTL-03,bottle_weight,509.2400
22,BTL-03,temperature,80.2536
22,BTL-03,fill_time,2.4445
22,BTL-03,fill_volume,500.1492
22,BTL-03,fill_level,96.1698
23,BTL-03,vibration,0.1560
23,BTL-03,precision,98.9416
23,BTL-03,bottle_weight,507.4765
24,BTL-03,temperature,79.7863
24,BTL-03,fill_time,2.5268
24,BTL-03,fill_volume,499.8991
24,BTL-03,fill_level,96.8287
25,BTL-03,vibration,0.1513
25,BTL-03,precision,98.8206
25,BTL-03,bottle_weight,508.2003
26,BTL-03,temperature,79.1317
26,BTL-03,fill_time,2.5019
26,BTL-03,fill_volume,500.5890
26,BTL-03,fill_level,96.8914
27,BTL-03,vibration,0.1542
27,BTL-03,precision,99.1037
27,BTL-03,bottle_weight,508.2503
28,BTL-03,temperature,79.3794
28,BTL-03,fill_time,2.3822
28,BTL-03,fill_volume,499.9155
28,BTL-03,fill_level,96.0904
29,BTL-03,vibration,0.1669
29,BTL-03,precision,99.3004
29,BTL-03,bottle_weight,508.1844
30,BTL-03,temperature,79.7688
30,BTL-03,fill_time,2.3690
30,BTL-03,fill_volume,500.3169
30,BTL-03,fill_level,96.8141
31,BTL-03,vibration,0.1671
31,BTL-03,precision,99.1624
31,BTL-03,bottle_weight,508.1299
32,BTL-03,temperature,80.4060
32,BTL-03,fill_time,2.3215
32,BTL-03,fill_volume,500.1892
32,BTL-03,fill_level,97.8063
33,BTL-03,vibration,0.1754
33,BTL-03,precision,99.0204
33,BTL-03,bottle_weight,507.4006
34,BTL-03,temperature,80.7063
34,BTL-03,fill_time,2.3076
34,BTL-03,fill_volume,500.2087
34,BTL-03,fill_level,98.1307
35,BTL-03,vibration,0.1705
35,BTL-03,precision,98.8508
35,BTL-03,bottle_weight,507.3898
36,BTL-03,temperature,81.2890
36,BTL-03,fill_time,2.2590
36,BTL-03,fill_volume,500.9549
36,BTL-03,fill_level,97.6672
37,BTL-03,vibration,0.1741
37,BTL-03,precision,98.8859
37,BTL-03,bottle_weight,508.5278
38,BTL-03,temperature,80.7890
38,BTL-03,fill_time,2.3069
38,BTL-03,fill_volume,500.7325
38,BTL-03,fill_level,97.0518
39,BTL-03,vibration,0.1691
39,BTL-03,precision,98.9789
39,BTL-03,bottle_weight,508.8134
40,BTL-03,temperature,81.5806
40,BTL-03,fill_time,2.4204
40,BTL-03,fill_volume,500.4201
40,BTL-03,fill_level,95.9455
41,BTL-03,vibration,0.1628
41,BTL-03,precision,98.9158
41,BTL-03,bottle_weight,509.9190
42,BTL-03,temperature,82.4126
42,BTL-03,fill_time,2.4374
42,BTL-03,fill_volume,500.9849
42,BTL-03,fill_level,95.7314
43,BTL-03,vibration,0.1567
43,BTL-03,precision,98.8826
43,BTL-03,bottle_weight,510.7412
44,BTL-03,temperature,82.5678
44,BTL-03,fill_time,2.5592
44,BTL-03,fill_volume,501.5978
44,BTL-03,fill_level,95.8635
45,BTL-03,vibration,0.1651
45,BTL-03,precision,99.0020
45,BTL-03,bottle_weight,510.0805
46,BTL-03,temperature,81.4481
46,BTL-03,fill_time,2.5719
46,BTL-03,fill_volume,501.2145
46,BTL-03,fill_level,95.3019
47,BTL-03,vibration,0.1537
47,BTL-03,precision,98.8280
47,BTL-03,bottle_weight,511.6540
48,BTL-03,temperature,80.7818
48,BTL-03,fill_time,2.5658
48,BTL-03,fill_volume,501.2951
48,BTL-03,fill_level,94.1608
49,BTL-03,vibration,0.1657
49,BTL-03,precision,99.0302
49,BTL-03,bottle_weight,512.2335
50,BTL-03,temperature,80.3170
50,BTL-03,fill_time,2.5181
50,BTL-03,fill_volume,501.5141
50,BTL-03,fill_level,93.3296
51,BTL-03,vibration,0.1784
51,BTL-03,precision,98.8537
51,BTL-03,bottle_weight,511.2427
52,BTL-03,temperature,80.5960
52,BTL-03,fill_time,2.4620
52,BTL-03,fill_volume,501.0342
52,BTL-03,fill_level,93.2603
53,BTL-03,vibration,0.1826
53,BTL-03,precision,98.7531
53,BTL-03,bottle_weight,511.3709
54,BTL-03,temperature,80.4167
54,BTL-03,fill_time,2.5429
54,BTL-03,fill_volume,500.2156
54,BTL-03,fill_level,93.6622
55,BTL-03,vibration,0.1807
55,BTL-03,precision,98.9565
55,BTL-03,bottle_weight,512.0076
56,BTL-03,temperature,81.0501
56,BTL-03,fill_time,2.5179
56,BTL-03,fill_volume,499.8249
56,BTL-03,fill_level,94.0597
57,BTL-03,vibration,0.1844
57,BTL-03,precision,98.5577
57,BTL-03,bottle_weight,511.9987
58,BTL-03,temperature,80.9532
58,BTL-03,fill_time,2.4554
58,BTL-03,fill_volume,499.8896
58,BTL-03,fill_level,93.8317
59,BTL-03,vibration,0.1952
59,BTL-03,precision,98.4142
59,BTL-03,bottle_weight,512.7896
60,BTL-03,temperature,80.9243
60,BTL-03,fill_time,2.4640
60,BTL-03,fill_volume,500.7200
60,BTL-03,fill_level,93.1850
61,BTL-03,vibration,0.1837
61,BTL-03,precision,98.2220
61,BTL-03,bottle_weight,513.4368
62,BTL-03,temperature,80.7495
62,BTL-03,fill_time,2.4730
62,BTL-03,fill_volume,501.6848
62,BTL-03,fill_level,93.7312
63,BTL-03,vibration,0.1862
63,BTL-03,precision,98.1235
63,BTL-03,bottle_weight,511.6289
64,BTL-03,temperature,81.1834
64,BTL-03,fill_time,2.4543
64,BTL-03,fill_volume,502.0119
64,BTL-03,fill_level,93.7404
65,BTL-03,vibration,0.1957
65,BTL-03,precision,98.1285
65,BTL-03,bottle_weight,511.8544
66,BTL-03,temperature,81.6194
66,BTL-03,fill_time,2.5270
66,BTL-03,fill_volume,502.4187
66,BTL-03,fill_level,94.9803
67,BTL-03,vibration,0.1958
67,BTL-03,precision,98.4587
67,BTL-03,bottle_weight,512.4619
68,BTL-03,temperature,81.2886
68,BTL-03,fill_time,2.5667
68,BTL-03,fill_volume,502.8123
68,BTL-03,fill_level,94.3575
69,BTL-03,vibration,0.1882
69,BTL-03,precision,98.2032
69,BTL-03,bottle_weight,511.9409
70,BTL-03,temperature,81.4755
70,BTL-03,fill_time,2.6003
70,BTL-03,fill_volume,503.2296
70,BTL-03,fill_level,93.9997
71,BTL-03,vibration,0.1893
71,BTL-03,precision,97.8204
71,BTL-03,bottle_weight,512.4049
72,BTL-03,temperature,81.0557
72,BTL-03,fill_time,2.6176
72,BTL-03,fill_volume,502.7340
72,BTL-03,fill_level,94.3825
73,BTL-03,vibration,0.1873
73,BTL-03,precision,97.7906
