#CONFIG
#process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
#BOTTLING,BTL-05,Tapadora,Línea 1,torque,operative,Nm,2.5,0.15,0.04,0,5,3.8,4.5,,,,
#BOTTLING,BTL-05,Tapadora,Línea 1,precision,operative,%,97,1,0.05,80,100,94,90,,,,
#BOTTLING,BTL-05,Tapadora,Línea 1,speed,operative,tap/min,80,6,0.03,30,140,110,125,,,,
#BOTTLING,BTL-05,Tapadora,Línea 1,vibration,operative,g,0.18,0.025,0.05,0,1.0,0.45,0.6,,,,
#BOTTLING,BTL-05,Tapadora,Línea 1,cap_torque,quality,Nm,2.4,0.12,0.04,1,4,3.5,3.8,2.4,3,1.8,1.33
#DATA
ts,machine_id,var_name,value
0,BTL-05,torque,2.5079
0,BTL-05,vibration,0.0910
1,BTL-05,torque,2.4463
1,BTL-05,vibration,0.0991
2,BTL-05,torque,2.4232
2,BTL-05,vibration,0.0944
3,BTL-05,torque,2.4140
3,BTL-05,vibration,0.0983
4,BTL-05,torque,2.3949
4,BTL-05,vibration,0.1012
5,BTL-05,torque,2.4276
5,BTL-05,vibration,0.1069
6,BTL-05,torque,2.5010
6,BTL-05,vibration,0.1038
7,BTL-05,torque,2.4876
7,BTL-05,vibration,0.0990
8,BTL-05,torque,2.4971
8,BTL-05,vibration,0.1043
9,BTL-05,torque,2.5575
9,BTL-05,vibration,0.1037
10,BTL-05,torque,2.6291
10,BTL-05,vibration,0.1000
11,BTL-05,torque,2.5960
11,BTL-05,vibration,0.1073
12,BTL-05,torque,2.5649
12,BTL-05,vibration,0.1016
13,BTL-05,torque,2.5226
13,BTL-05,vibration,0.1073
14,BTL-05,torque,2.5216
14,BTL-05,vibration,0.1035
15,BTL-05,torque,2.5103
15,BTL-05,vibration,0.0965
16,BTL-05,torque,2.4970
16,BTL-05,vibration,0.0956
17,BTL-05,torque,2.4976
17,BTL-05,vibration,0.0889
18,BTL-05,torque,2.4998
18,BTL-05,vibration,0.0898
19,BTL-05,torque,2.5074
19,BTL-05,vibration,0.0863
20,BTL-05,torque,2.5588
20,BTL-05,vibration,0.0940
21,BTL-05,torque,2.4928
21,BTL-05,vibration,0.1014
22,BTL-05,torque,2.4657
22,BTL-05,vibration,0.1018
23,BTL-05,torque,2.5025
23,BTL-05,vibration,0.1110
24,BTL-05,torque,2.4921
24,BTL-05,vibration,0.1180
25,BTL-05,torque,2.5223
25,BTL-05,vibration,0.1142
26,BTL-05,torque,2.5732
26,BTL-05,vibration,0.1109
27,BTL-05,torque,2.5961
27,BTL-05,vibration,0.1075
28,BTL-05,torque,2.5911
28,BTL-05,vibration,0.1063
29,BTL-05,torque,2.6447
29,BTL-05,vibration,0.1074
30,BTL-05,torque,2.5854
30,BTL-05,vibration,0.0991
31,BTL-05,torque,2.5935
31,BTL-05,vibration,0.0976
32,BTL-05,torque,2.6035
32,BTL-05,vibration,0.0914
33,BTL-05,torque,2.6484
33,BTL-05,vibration,0.0904
34,BTL-05,torque,2.7018
34,BTL-05,vibration,0.0993
35,BTL-05,torque,2.7202
35,BTL-05,vibration,0.0905
36,BTL-05,torque,2.6865
36,BTL-05,vibration,0.0998
37,BTL-05,torque,2.7464
37,BTL-05,vibration,0.0954
38,BTL-05,torque,2.6619
38,BTL-05,vibration,0.1026
39,BTL-05,torque,2.6173
39,BTL-05,vibration,0.0996
40,BTL-05,torque,2.5723
40,BTL-05,vibration,0.0923
41,BTL-05,torque,2.6352
41,BTL-05,vibration,0.0913
42,BTL-05,torque,2.5890
42,BTL-05,vibration,0.0818
43,BTL-05,torque,2.5409
43,BTL-05,vibration,0.0911
44,BTL-05,torque,2.5595
44,BTL-05,vibration,0.0904
45,BTL-05,torque,2.5406
45,BTL-05,vibration,0.0973
46,BTL-05,torque,2.6007
46,BTL-05,vibration,0.0957
47,BTL-05,torque,2.5630
47,BTL-05,vibration,0.0929
48,BTL-05,torque,2.5938
48,BTL-05,vibration,0.0877
49,BTL-05,torque,2.6647
49,BTL-05,vibration,0.0918
50,BTL-05,torque,2.6939
50,BTL-05,vibration,0.0897
51,BTL-05,torque,2.7193
51,BTL-05,vibration,0.0918
52,BTL-05,torque,2.7178
52,BTL-05,vibration,0.0900
53,BTL-05,torque,2.6812
53,BTL-05,vibration,0.0849
54,BTL-05,torque,2.6846
54,BTL-05,vibration,0.0846
55,BTL-05,torque,2.6949
55,BTL-05,vibration,0.0850
56,BTL-05,torque,2.6370
56,BTL-05,vibration,0.0938
57,BTL-05,torque,2.5658
57,BTL-05,vibration,0.0945
58,BTL-05,torque,2.5406
58,BTL-05,vibration,0.1031
59,BTL-05,torque,2.5710
59,BTL-05,vibration,0.1018
60,BTL-05,torque,2.6128
60,BTL-05,vibration,0.1078
61,BTL-05,torque,2.5366
61,BTL-05,vibration,0.1040
62,BTL-05,torque,2.4672
62,BTL-05,vibration,0.1112
63,BTL-05,torque,2.5190
63,BTL-05,vibration,0.1200
64,BTL-05,torque,2.4552
64,BTL-05,vibration,0.1250
65,BTL-05,torque,2.4526
65,BTL-05,vibration,0.1340
66,BTL-05,torque,2.4837
66,BTL-05,vibration,0.1392
67,BTL-05,torque,2.5400
67,BTL-05,vibration,0.1360
68,BTL-05,torque,2.5179
68,BTL-05,vibration,0.1330
69,BTL-05,torque,2.4706
69,BTL-05,vibration,0.1321
70,BTL-05,torque,2.4661
70,BTL-05,vibration,0.1400
71,BTL-05,torque,2.4366
71,BTL-05,vibration,0.1447
72,BTL-05,torque,2.3763
72,BTL-05,vibration,0.1490
73,BTL-05,torque,2.3110
73,BTL-05,vibration,0.1476
74,BTL-05,torque,2.3647
74,BTL-05,vibration,0.1518
75,BTL-05,torque,2.3363
75,BTL-05,vibration,0.1520
76,BTL-05,torque,2.2939
76,BTL-05,vibration,0.1579
77,BTL-05,torque,2.2354
77,BTL-05,vibration,0.1545
78,BTL-05,torque,2.2733
78,BTL-05,vibration,0.1545
79,BTL-05,torque,2.2579
79,BTL-05,vibration,0.1550
80,BTL-05,torque,2.2796
80,BTL-05,vibration,0.1504
81,BTL-05,torque,2.2453
81,BTL-05,vibration,0.1509
82,BTL-05,torque,2.3016
82,BTL-05,vibration,0.1433
83,BTL-05,torque,2.3220
83,BTL-05,vibration,0.1515
84,BTL-05,torque,2.3729
84,BTL-05,vibration,0.1399
85,BTL-05,torque,2.3943
85,BTL-05,vibration,0.1409
86,BTL-05,torque,2.3242
86,BTL-05,vibration,0.1393
87,BTL-05,torque,2.3288
87,BTL-05,vibration,0.1314
88,BTL-05,torque,2.3302
88,BTL-05,vibration,0.1339
89,BTL-05,torque,2.3104
89,BTL-05,vibration,0.1330
90,BTL-05,torque,2.3315
90,BTL-05,vibration,0.1287
91,BTL-05,torque,2.2968
91,BTL-05,vibration,0.1192
92,BTL-05,torque,2.2447
92,BTL-05,vibration,0.1257
93,BTL-05,torque,2.2971
93,BTL-05,vibration,0.1192
94,BTL-05,torque,2.3565
94,BTL-05,vibration,0.1139
95,BTL-05,torque,2.3795
95,BTL-05,vibration,0.1065
96,BTL-05,torque,2.4267
96,BTL-05,vibration,0.1113
97,BTL-05,torque,2.4606
97,BTL-05,vibration,0.1197
98,BTL-05,torque,2.4640
98,BTL-05,vibration,0.1192
99,BTL-05,torque,2.4768
99,BTL-05,vibration,0.1212
100,BTL-05,torque,2.5510
100,BTL-05,vibration,0.1298
101,BTL-05,torque,2.5675
101,BTL-05,vibration,0.1317
102,BTL-05,torque,2.5522
102,BTL-05,vibration,0.1353
103,BTL-05,torque,2.4992
103,BTL-05,vibration,0.1402
104,BTL-05,torque,2.4903
104,BTL-05,vibration,0.1427
105,BTL-05,torque,2.5547
105,BTL-05,vibration,0.1451
106,BTL-05,torque,2.4892
106,BTL-05,vibration,0.1392
107,BTL-05,torque,2.4391
107,BTL-05,vibration,0.1348
108,BTL-05,torque,2.3736
108,BTL-05,vibration,0.1350
109,BTL-05,torque,2.3798
109,BTL-05,vibration,0.1304
110,BTL-05,torque,2.3755
110,BTL-05,vibration,0.1199
111,BTL-05,torque,2.3476
111,BTL-05,vibration,0.1233
112,BTL-05,torque,2.4112
112,BTL-05,vibration,0.1310
113,BTL-05,torque,2.4827
113,BTL-05,vibration,0.1292
114,BTL-05,torque,2.5031
114,BTL-05,vibration,0.1320
115,BTL-05,torque,2.5534
115,BTL-05,vibration,0.1318
116,BTL-05,torque,2.5135
116,BTL-05,vibration,0.1362
117,BTL-05,torque,2.4829
117,BTL-05,vibration,0.1317
118,BTL-05,torque,2.5296
118,BTL-05,vibration,0.1373
119,BTL-05,torque,2.4630
119,BTL-05,vibration,0.1326
120,BTL-05,torque,2.5065
120,BTL-05,vibration,0.1267
121,BTL-05,torque,2.4839
121,BTL-05,vibration,0.1238
122,BTL-05,torque,2.4155
122,BTL-05,vibration,0.1202
123,BTL-05,torque,2.4882
123,BTL-05,vibration,0.1263
124,BTL-05,torque,2.5088
124,BTL-05,vibration,0.1297
125,BTL-05,torque,2.5173
125,BTL-05,vibration,0.1207
126,BTL-05,torque,2.4837
126,BTL-05,vibration,0.1211
127,BTL-05,torque,2.5150
127,BTL-05,vibration,0.1274
128,BTL-05,torque,2.5475
128,BTL-05,vibration,0.1205
129,BTL-05,torque,2.5406
129,BTL-05,vibration,0.1272
130,BTL-05,torque,2.5213
130,BTL-05,vibration,0.1313
131,BTL-05,torque,2.5375
131,BTL-05,vibration,0.1370
132,BTL-05,torque,2.4622
132,BTL-05,vibration,0.1407
133,BTL-05,torque,2.4963
133,BTL-05,vibration,0.1308
134,BTL-05,torque,2.4482
134,BTL-05,vibration,0.1297
