process,machine_id,machine_name,line,var_name,var_type,unit,base_value,noise,spring,min,max,warn,crit,quality_target,quality_usl,quality_lsl,quality_cp
BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,level,operative,%,85,2.0,0.03,0,100,92,95,,,,
BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,temperature,operative,°C,82,1.0,0.04,15,100,90,95,,,,
BOTTLING,BTL-01,Tanque de almacenamiento,Línea 1,pressure,operative,bar,1.2,0.1,0.05,0,3,2.5,2.8,,,,
BOTTLING,BTL-02,Bomba industrial,Línea 1,pressure,operative,bar,4.5,0.3,0.04,0,8,6.5,7.5,,,,
BOTTLING,BTL-02,Bomba industrial,Línea 1,flow_rate,operative,L/min,120,5.0,0.03,0,200,160,180,,,,
BOTTLING,BTL-02,Bomba industrial,Línea 1,vibration,operative,g,0.25,0.03,0.05,0,1.5,0.65,0.85,,,,
BOTTLING,BTL-02,Bomba industrial,Línea 1,energy,operative,kWh,38,2.0,0.04,0,80,60,70,,,,
BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_time,operative,s,2.5,0.15,0.04,1,5,3.5,4.2,,,,
BOTTLING,BTL-03,Llenadora automática,Línea 1,precision,operative,%,98.5,0.5,0.05,80,100,95,90,,,,
BOTTLING,BTL-03,Llenadora automática,Línea 1,speed,operative,botellas/min,120,8.0,0.03,40,200,160,180,,,,
BOTTLING,BTL-03,Llenadora automática,Línea 1,nozzle_state,operative,,0.95,0.02,0.02,0,1,0.7,0.5,,,,
BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_volume,quality,mL,500,1.5,0.05,480,520,505,510,500,505,495,1.33
BOTTLING,BTL-03,Llenadora automática,Línea 1,bottle_weight,quality,g,510,2.0,0.04,490,530,518,525,510,518,502,1.33
BOTTLING,BTL-03,Llenadora automática,Línea 1,fill_level,quality,%,95,1.2,0.05,85,100,98,99,95,99,91,1.33
BOTTLING,BTL-04,Banda transportadora,Línea 1,speed,operative,m/s,1.2,0.08,0.04,0,3,2.2,2.6,,,,
BOTTLING,BTL-04,Banda transportadora,Línea 1,torque,operative,Nm,45,3.0,0.03,0,100,75,90,,,,
BOTTLING,BTL-04,Banda transportadora,Línea 1,vibration,operative,g,0.18,0.02,0.05,0,1.0,0.45,0.6,,,,
BOTTLING,BTL-04,Banda transportadora,Línea 1,cycle_time,operative,s,3.2,0.2,0.04,1,8,5.5,6.5,,,,
BOTTLING,BTL-05,Tapadora,Línea 1,torque,operative,Nm,2.5,0.15,0.04,0,5,3.8,4.5,,,,
BOTTLING,BTL-05,Tapadora,Línea 1,precision,operative,%,97,1.0,0.05,80,100,94,90,,,,
BOTTLING,BTL-05,Tapadora,Línea 1,speed,operative,tapas/min,80,6.0,0.03,30,140,110,125,,,,
BOTTLING,BTL-05,Tapadora,Línea 1,cap_torque,quality,Nm,2.4,0.12,0.04,1,4,3.5,3.8,2.4,3.0,1.8,1.33
BOTTLING,BTL-06,Etiquetadora,Línea 1,position,operative,mm,50,1.5,0.04,0,100,70,85,,,,
BOTTLING,BTL-06,Etiquetadora,Línea 1,precision,operative,%,96,1.0,0.05,80,100,92,88,,,,
BOTTLING,BTL-06,Etiquetadora,Línea 1,speed,operative,etiquetas/min,90,7.0,0.03,30,150,120,135,,,,
BOTTLING,BTL-06,Etiquetadora,Línea 1,label_position,quality,mm,1.0,0.3,0.05,0,5,3.0,4.0,1.0,2.0,0.0,1.33
FURNACE,FUR-01,Horno industrial,Línea 2,temperature,operative,°C,220,1.5,0.02,180,260,242,248,,,,
FURNACE,FUR-01,Horno industrial,Línea 2,residence_time,operative,min,45,2.0,0.03,20,90,70,80,,,,
FURNACE,FUR-01,Horno industrial,Línea 2,energy,operative,kWh,88,4.0,0.03,20,150,120,135,,,,
FURNACE,FUR-01,Horno industrial,Línea 2,hardness,quality,HRC,58,1.5,0.04,30,70,55,50,58,62,54,1.33
FURNACE,FUR-01,Horno industrial,Línea 2,fragility,quality,,3.5,0.4,0.05,1,10,6.5,8.0,3.5,5.0,2.0,1.33
FURNACE,FUR-01,Horno industrial,Línea 2,residual_humidity,quality,%,1.5,0.2,0.04,0,10,3.5,5.0,1.5,2.5,0.5,1.33
FURNACE,FUR-01,Horno industrial,Línea 2,thermal_uniformity,quality,%,95,1.0,0.03,70,100,90,85,95,98,92,1.33
FURNACE,FUR-02,Sistema de ventilación,Línea 2,air_flow,operative,m³/s,8.5,0.5,0.04,2,15,12,14,,,,
FURNACE,FUR-02,Sistema de ventilación,Línea 2,fan_vibration,operative,g,0.35,0.04,0.05,0,2.0,0.85,1.1,,,,
FURNACE,FUR-02,Sistema de ventilación,Línea 2,fan_speed,operative,RPM,1450,50,0.03,500,3000,2500,2800,,,,
FURNACE,FUR-03,Sensores térmicos,Línea 2,precision,operative,°C,0.5,0.05,0.04,0,3,1.5,2.0,,,,
FURNACE,FUR-03,Sensores térmicos,Línea 2,drift,operative,°C/h,0.05,0.02,0.01,0,2,0.8,1.2,,,,
FURNACE,FUR-03,Sensores térmicos,Línea 2,measurement_error,operative,%,1.0,0.1,0.05,0,10,5.0,7.0,,,,
FURNACE,FUR-03,Sensores térmicos,Línea 2,color_uniformity,quality,%,92,1.5,0.04,60,100,85,75,92,96,88,1.33
FURNACE,FUR-04,Controladores PID,Línea 2,setpoint_temp,operative,°C,218,0.5,0.06,180,260,242,248,,,,
FURNACE,FUR-04,Controladores PID,Línea 2,response_time,operative,s,2.8,0.3,0.04,0.5,10,6.0,8.0,,,,
FURNACE,FUR-04,Controladores PID,Línea 2,stability,operative,,0.92,0.03,0.03,0,1,0.7,0.5,,,,
#DATA
ts,machine_id,var_name,value
0,BTL-01,level,86.6825
1,BTL-01,level,85.0169
2,BTL-01,level,88.0744
3,BTL-01,level,84.9595
4,BTL-01,level,84.9364
5,BTL-01,level,84.9878
6,BTL-01,level,85.4523
7,BTL-01,level,84.4385
8,BTL-01,level,85.4280
9,BTL-01,level,85.9107
10,BTL-01,level,86.8463
0,BTL-01,temperature,81.7551
1,BTL-01,temperature,81.3366
2,BTL-01,temperature,82.2140
3,BTL-01,temperature,83.7781
4,BTL-01,temperature,81.7343
5,BTL-01,temperature,82.0825
6,BTL-01,temperature,80.8255
7,BTL-01,temperature,81.0308
8,BTL-01,temperature,82.1279
9,BTL-01,temperature,80.9273
10,BTL-01,temperature,81.9905
0,BTL-01,pressure,1.0868
1,BTL-01,pressure,1.1486
2,BTL-01,pressure,1.2857
3,BTL-01,pressure,1.1573
4,BTL-01,pressure,1.2497
5,BTL-01,pressure,1.1949
6,BTL-01,pressure,1.1296
7,BTL-01,pressure,1.1958
8,BTL-01,pressure,1.2063
9,BTL-01,pressure,1.1643
10,BTL-01,pressure,1.1624
0,BTL-02,pressure,4.9044
1,BTL-02,pressure,4.0928
2,BTL-02,pressure,4.1630
3,BTL-02,pressure,4.4593
4,BTL-02,pressure,4.2695
5,BTL-02,pressure,4.3825
6,BTL-02,pressure,4.3586
7,BTL-02,pressure,4.4450
8,BTL-02,pressure,4.8493
9,BTL-02,pressure,4.8664
10,BTL-02,pressure,4.3642
11,BTL-02,pressure,4.6106
0,BTL-02,flow_rate,123.5717
1,BTL-02,flow_rate,117.8897
2,BTL-02,flow_rate,117.3766
3,BTL-02,flow_rate,119.6646
4,BTL-02,flow_rate,118.0537
5,BTL-02,flow_rate,123.5619
6,BTL-02,flow_rate,121.6035
7,BTL-02,flow_rate,116.9036
8,BTL-02,flow_rate,122.9886
0,BTL-02,vibration,0.2142
1,BTL-02,vibration,0.2635
2,BTL-02,vibration,0.2518
3,BTL-02,vibration,0.2599
4,BTL-02,vibration,0.2660
5,BTL-02,vibration,0.2569
6,BTL-02,vibration,0.2630
7,BTL-02,vibration,0.2742
8,BTL-02,vibration,0.3152
9,BTL-02,vibration,0.2441
10,BTL-02,vibration,0.2330
0,BTL-02,energy,39.8282
1,BTL-02,energy,39.2307
2,BTL-02,energy,39.6883
3,BTL-02,energy,40.1069
4,BTL-02,energy,37.6005
5,BTL-02,energy,40.1722
6,BTL-02,energy,36.2631
7,BTL-02,energy,42.3183
0,BTL-03,fill_time,2.5533
1,BTL-03,fill_time,2.6305
2,BTL-03,fill_time,2.5139
3,BTL-03,fill_time,2.3169
4,BTL-03,fill_time,2.7156
5,BTL-03,fill_time,2.2948
6,BTL-03,fill_time,2.6360
7,BTL-03,fill_time,2.5480
8,BTL-03,fill_time,2.5586
9,BTL-03,fill_time,2.7199
10,BTL-03,fill_time,2.5330
11,BTL-03,fill_time,2.4538
0,BTL-03,precision,98.0756
1,BTL-03,precision,99.0248
2,BTL-03,precision,98.4330
3,BTL-03,precision,98.3772
4,BTL-03,precision,97.9966
5,BTL-03,precision,98.5218
6,BTL-03,precision,98.1874
7,BTL-03,precision,98.7038
8,BTL-03,precision,98.3807
0,BTL-03,speed,115.4700
1,BTL-03,speed,117.0034
2,BTL-03,speed,114.3047
3,BTL-03,speed,115.0096
4,BTL-03,speed,119.0657
5,BTL-03,speed,127.6279
6,BTL-03,speed,114.9323
7,BTL-03,speed,114.4573
8,BTL-03,speed,117.8165
9,BTL-03,speed,117.8864
10,BTL-03,speed,131.6655
0,BTL-03,nozzle_state,0.9823
1,BTL-03,nozzle_state,0.9311
2,BTL-03,nozzle_state,0.9529
3,BTL-03,nozzle_state,0.9472
4,BTL-03,nozzle_state,0.9522
5,BTL-03,nozzle_state,0.9503
6,BTL-03,nozzle_state,0.9478
7,BTL-03,nozzle_state,0.9335
8,BTL-03,nozzle_state,0.9443
9,BTL-03,nozzle_state,0.9243
0,BTL-03,fill_volume,499.9842
1,BTL-03,fill_volume,500.4029
2,BTL-03,fill_volume,501.1025
3,BTL-03,fill_volume,501.1635
4,BTL-03,fill_volume,499.1670
5,BTL-03,fill_volume,501.0715
6,BTL-03,fill_volume,498.7357
7,BTL-03,fill_volume,500.0158
8,BTL-03,fill_volume,499.4527
9,BTL-03,fill_volume,499.8798
10,BTL-03,fill_volume,499.1506
11,BTL-03,fill_volume,498.5370
0,BTL-03,bottle_weight,511.4897
1,BTL-03,bottle_weight,510.7226
2,BTL-03,bottle_weight,510.6565
3,BTL-03,bottle_weight,508.6077
4,BTL-03,bottle_weight,510.2943
5,BTL-03,bottle_weight,508.8143
6,BTL-03,bottle_weight,508.4026
7,BTL-03,bottle_weight,509.3620
8,BTL-03,bottle_weight,509.4828
0,BTL-03,fill_level,94.4789
1,BTL-03,fill_level,94.5647
2,BTL-03,fill_level,95.3085
3,BTL-03,fill_level,95.7145
4,BTL-03,fill_level,95.5780
5,BTL-03,fill_level,95.5411
6,BTL-03,fill_level,93.8904
7,BTL-03,fill_level,94.7918
8,BTL-03,fill_level,95.9455
9,BTL-03,fill_level,94.4260
0,BTL-04,speed,1.1522
1,BTL-04,speed,1.2443
2,BTL-04,speed,1.2551
3,BTL-04,speed,1.0448
4,BTL-04,speed,1.2624
5,BTL-04,speed,1.1213
6,BTL-04,speed,1.1898
7,BTL-04,speed,1.2019
8,BTL-04,speed,1.0835
9,BTL-04,speed,1.2288
10,BTL-04,speed,1.1726
0,BTL-04,torque,43.2390
1,BTL-04,torque,47.1957
2,BTL-04,torque,47.4973
3,BTL-04,torque,44.8430
4,BTL-04,torque,41.3319
5,BTL-04,torque,43.9067
6,BTL-04,torque,44.0467
